TIC_ID,Sectors,Tmag,Tmag_err,Teff_K,Teff_err,Rstar_Rsun,Rstar_err,Mstar_Msun,Mstar_err,alpha_atm,A_atm_ppm,A_ellip_ppm,A_beam_ppm,A_total_ppm,Period_d,Period_err,LS_significance,Rp_RJ,Rp_err,Mp_MJ,Mp_err,Ksini_m_s,Ksini_err
124280718,"6, 33",10.937,0.006,5249,123,0.91,0.05,0.90,0.10,1.66,299.8,26.0,3.5,299.9,0.884,0.001,204,1.70,0.05,1.83,1.22,417,278
141372241,"8, 9",9.294,0.006,5784,129,0.84,0.03,1.04,0.13,1.66,223.7,<3.0,<0.8,223.7,1.041,0.025,269,1.72,0.04,<0.5,,<98,
266784171,"3, 30",9.942,0.006,5984,128,0.97,0.05,1.10,0.14,3.61,226.1,<1.2,<0.6,266.1,1.929,0.006,325,1.96,0.04,<0.5,,<76,
351601347,"13, 27",10.389,0.006,6044,120,1.88,0.09,1.12,0.14,3.61,204.6,<25.6,<0.8,204.6,1.106,0.045,58.9,1.19,0.05,<0.5,,<91,
243494729,"11, 38",10.324,0.006,6352,111,1.51,0.08,1.26,0.20,3.61,258.0,30.7,3.7,258.1,1.556,0.074,117,1.75,0.04,2.90,1.24,435,186
100512121,"5, 6, 32, 33",9.605,0.006,6443,120,1.45,0.06,1.30,0.20,3.61,134.8,<19.0,<0.8,134.8,0.747,0.001,42.6,0.78,0.04,<0.5,,<94,
362086194,"11, 12, 13, 27, 38, 39",10.752,0.006,6522,128,1.51,0.06,1.34,0.22,2.49,52.3,64.3,4.1,95.5,1.117,0.001,57.9,0.77,0.14,3.54,1.00,569,161
62078858,"7, 34",10.857,0.008,6547,132,1.81,0.08,1.35,0.22,3.61,238.3,<34.3,<0.8,238.3,0.743,0.001,96.9,1.05,0.05,<0.5,,<92,
96918158,"6, 7, 33, 34",10.759,0.007,6660,125,1.47,0.07,1.40,0.24,2.49,202.2,34.6,4.1,202.3,1.354,0.003,61.6,1.75,0.09,3.30,1.92,484,282
251855019,"2, 29",10.546,0.006,6677,126,1.81,0.10,1.41,0.24,3.61,242.4,28.7,1.5,242.4,1.181,0.001,156,1.46,0.04,1.13,0.50,173,77
200526405,"6, 32",10.936,0.020,6762,179,1.76,0.08,1.45,0.25,3.61,204.7,<4.5,<0.5,204.7,1.856,0.004,84.1,1.83,0.09,<0.5,,<64,
2758451,"2, 29",10.337,0.008,6804,128,1.68,0.08,1.46,0.25,3.61,303.6,13.5,0.7,303.6,1.004,0.001,251,1.49,0.04,0.52,0.70,82,110
196322336,"8, 34, 35",10.311,0.006,6828,131,1.47,0.06,1.47,0.25,3.61,268.1,<13.2,<0.7,268.1,0.810,0.008,377,1.21,0.04,<0.5,,<84,
264903281,"7, 34",10.761,0.006,6830,141,1.88,0.10,1.47,0.27,3.61,335.5,29.5,0.9,335.5,0.898,0.001,217,1.45,0.04,0.65,0.45,106,73
174001896,"7, 8",9.808,0.006,6832,133,1.74,0.07,1.48,0.25,7.22,306.5,20.9,2.7,306.5,1.845,0.083,453,1.59,0.03,2.49,1.46,317,186
258914469,"11, 37",10.573,0.006,6842,130,1.98,0.10,1.48,0.25,3.61,326.4,<12.0,<0.6,326.4,1.322,0.003,174,1.86,0.06,<0.5,,<71,
121026156,"4, 31",10.085,0.007,6848,126,1.85,0.08,1.48,0.25,3.61,250.7,<14.7,<0.6,250.7,1.079,0.002,151,1.42,0.03,<0.5,,<76,
380914081,"13, 39",9.962,0.006,6853,132,1.56,0.07,1.48,0.27,3.61,329.2,<8.6,<0.6,329.2,1.089,0.002,333,1.64,0.03,<0.5,,<76,
56126064,"5, 32",10.836,0.008,6877,132,1.78,0.08,1.49,0.24,7.22,470.5,25.4,2.9,470.5,1.777,0.004,357,1.92,0.04,2.63,1.88,338,242
235055610,"4, 5, 6, 31, 32, 33",10.660,0.006,6890,132,1.67,0.07,1.50,0.26,2.49,83.1,54.0,8.5,107.4,1.901,0.023,150,1.44,0.15,7.97,2.45,997,306
454198279,"5, 32",9.256,0.006,6940,128,1.51,0.06,1.52,0.25,3.61,394.2,<8.1,<0.6,394.2,1.044,0.001,403,1.76,0.02,<0.5,,<76,
59534077,"7, 8, 33, 34, 35",10.101,0.006,6992,133,1.49,0.06,1.54,0.25,3.61,210.9,<3.4,<0.6,210.9,1.563,0.031,104,1.69,0.04,<0.5,,<66,
144305370,"9, 36",10.618,0.008,7019,127,1.61,0.08,1.55,0.27,3.61,212.7,<12.1,<0.7,212.7,0.921,0.021,199,1.20,0.06,<0.5,,<78,
52199183,"9, 36",10.808,0.009,7113,113,1.69,0.09,1.58,0.25,3.61,260.9,19.0,1.0,260.9,0.971,0.001,224,1.38,0.06,0.78,0.90,118,136
388496589,"8, 9, 34, 35, 36",10.596,0.006,7128,133,1.43,0.06,1.59,0.27,3.61,184.8,<11.7,<0.7,184.8,0.764,0.025,127,0.99,0.07,<0.5,,<82,
158716775,"9, 10, 36",10.319,0.006,7163,139,1.54,0.06,1.60,0.28,2.49,124.2,<2.5,<0.5,124.2,1.825,0.003,219,1.76,0.10,<0.5,,<61,
443857085,"7, 34",10.730,0.006,7171,136,1.70,0.08,1.60,0.28,10.82,528.2,22.6,3.9,528.2,1.982,0.014,450,1.83,0.04,3.91,3.64,462,430
