Name,RA,Dec,Period (day),a (AU),T transit/inf conj (JD),Obs status,Eccentric?,Kp max (km/s),Transiting?,Kmag (<9),e,omega,inc,Mpl,Rpl,Teq,Tstar,Rstar,
WASP-77,02:28:37.2,-07:03:38.4,1.36002827981971,0.02335,2459168.520849,IGRINS,No,186.8,Y,8.8,0,0,0,1.66,1.21,1700,5500,0.93,
WASP-121,07:10:24.1,-39:05:50.6,1.274924762,0.02596,2458661.563783,IGRINS,No,222.4,Y,9.6,0,0,0,1.16,1.75,2500,6400,1.6,
MASCARA-1,21:10:12.4,+10:44:20.0,2.1425095,0.043,2460556.771408,IGRINS,No,219,Y,7.8,0,0,0,3.7,1.6,2600,7500,2,Luke Kevin
WASP-122,07:13:12.30,-42:24:35.10,1.7100122,0.02956,2459987.847958,IGRINS,No,187.7,Y,9.8,0,0,0,1.2,1.5,1900,5900,1.5,
WASP-87,12:21:17.90,-52:50:26.90,1.68279170176108,0.0295,2458569.66758,IGRINS,No,191,Y,9.8,0,0,0,2.18,1.39,2000,6500,1.55,
WASP-103,16:37:15.60,07:11:00.20,0.925545386,0.0198,2457308.324538,IGRINS,No,232.6,Y,11.1,0,0,0,1.49,1.53,2500,6100,1.43,
WASP-19,09:53:40.00,-45:39:32.80,0.788838926489372,0.0165,2459304.062715,IGRINS,No,227.8,Y,10.9,0,0,0,1.15,1.4,2100,5600,1,
MASCARA-4,09:50:12.20,-66:06:50.10,2.8240691,0.0474,2459358.688506,IGRINS,No,182.9,Y,7.8,0,0,0,1.68,1.52,2200,8000,1.83,
WASP-82,04:50:38.50,01:53:37.80,2.70582,0.0448,2458438.96587,IGRINS,No,180.5,Y,9,0,0,0,1.62,1.62,2200,6500,2.2,
WASP-18,01:37:25,-45:40:40,0.9414525,0.02,2460205.353322,WINERED,No,231,Y,8.1,0,0,0,10.3,1.4,2251,6400,1.35,
WASP-178,15:09:05,-42:42:18,3.3448404,0.055,2459358.767146,IGRINS,No,179,Y,9.7,0,0,0,]1.4,1.9,2400,8600,1.8,
WASP-94,20:55:09,-34:08:09,2.00839,0.0335,2456574.359,None,No,129,N,9.2,0,0,45,0.618,1.2,1950,6050,1.43,
HD202772,21:18:48,-26:36:59,3.3088922,0.0519,2460175.035,KPIC det,No,171.1,Y,8.2,0,0,84.5,1.01,1.55,2112,6300,2.5,
WASP-189,15:02:45,-3:01:53,2.7240308,0.05053,2456706.457,WINERED,No,202.3,Y,6,0,0,0,2,1.6,3350,8000,2.36,
WASP-74,20:18:09,-1:04:32,2.1377516,0.03443,2457205.938,WINERED,No,175.7,Y,8.2,0,0,0,0.8,1.4,1910,5900,1.6,
KELT-11,10:46:50,-9:23:58,4.73592319,0.0625,2459988.884,IGRINS,No,144,Y,6.1,0,0,85.3,0.18,1.2,1714,5300,2.8,
WASP-167,13:04:10.50,-35:32:58.30,2.0219583,0.0365,2460064.168409,IGRINS,No,196.6,Y,9.9,0,0,0,4,1.58,2200,7100,1.8,
WASP-76,01:46:31.9,+02:42:02.0,1.809881077104,0.033,2459448.895243,IGRINS,No,198,Y,8.5,0,0,0,0.91,1.85,2200,6300,1.8,
